"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"715","Get tips on incorporating ethics into your #analytics projects https://t.co/07LRD3JYY6 https://t.co/djfL3RcP18",FALSE,0,NA,2017-01-18 16:02:47,FALSE,NA,"821749686893768704",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","WeAreAsemio",0,FALSE,FALSE,NA,NA
"716","Survey Says https://t.co/uHwTaJZ7wn @visitmilwaukee @MeetMinneapolis #meetingprofs #eventprofs #CVBS #planners… https://t.co/JI4EArjnWx",FALSE,0,NA,2017-01-18 16:02:33,TRUE,NA,"821749630509662208",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","MidwestMeetings",0,FALSE,FALSE,NA,NA
"717","Unique Career Transition Opportunities. #DataScience #Data #Analytics https://t.co/In75EFnLMP https://t.co/JU948dnKSY",FALSE,0,NA,2017-01-18 16:02:19,FALSE,NA,"821749570178842625",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Tapwage",0,FALSE,FALSE,NA,NA
"718","Find out how and why you should use Google Analytics https://t.co/f2Gy2DMejn #GA #GoogleAnalytics #Analytics https://t.co/KCvoEg1Bk8",FALSE,0,NA,2017-01-18 16:02:17,FALSE,NA,"821749562603962368",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","SageLegion",0,FALSE,FALSE,NA,NA
"719","Here are your Top 10 Data Challenges Solved Using Alteryx! https://t.co/j9XNx4Tqca 

#Data #Analytics #Alteryx #BI https://t.co/uE47QoMAaP",FALSE,1,NA,2017-01-18 16:02:12,FALSE,NA,"821749539019386881",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","HappyDataGeek",0,FALSE,FALSE,NA,NA
"720","RT @MariaWinans: Why predictive #analytics will steal the show at NRF's 2017 Big Show. #data #WatsonCE #THINKmarketing #NRF17 https://t.co/…",FALSE,0,NA,2017-01-18 16:02:08,FALSE,NA,"821749523735347201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ria_Hender4",9,TRUE,FALSE,NA,NA
"721","RT @rafaelajunquera: You sank our battleship! We really thought the #cloud was more insecure for #BigData and #Analytics https://t.co/J5HQi…",FALSE,0,NA,2017-01-18 16:02:01,FALSE,NA,"821749496229019648",NA,"<a href=""http://dustcloud.io"" rel=""nofollow"">Dustcloud.io</a>","dustcloud_io",3,TRUE,FALSE,NA,NA
"722","Learn how real-time 1:1 tech &amp; #cognitive #analytics can build brand #loyalty &amp; drive ROI. WEBINAR feat #Forrester… https://t.co/5Z6q3TaYgb",FALSE,0,NA,2017-01-18 16:01:57,TRUE,NA,"821749477614743553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ExchangeSolns",0,FALSE,FALSE,NA,NA
"723","https://t.co/HTGjgWCyQq  10 Must Read Data Technology Articles From January 2017 #WEB16 #analytics https://t.co/oTbEnD4Txh",FALSE,0,NA,2017-01-18 16:01:54,FALSE,NA,"821749463362469888",NA,"<a href=""https://www.rssflare.com"" rel=""nofollow"">RSSFlare</a>","SocialeAdds",0,FALSE,FALSE,NA,NA
"724","https://t.co/GQVlltlbQ9  10 Must Read Data Technology Articles From January 2017 #WEB16 #analytics https://t.co/XG8meFadqP",FALSE,0,NA,2017-01-18 16:01:53,FALSE,NA,"821749462129381382",NA,"<a href=""https://www.rssflare.com"" rel=""nofollow"">RSSFlare</a>","SuccessPros",0,FALSE,FALSE,NA,NA
"725","How to win in the age of #analytics via @McKinsey https://t.co/wXK9ZZCEg0 https://t.co/GXJrwzNXiA",FALSE,0,NA,2017-01-18 16:01:42,FALSE,NA,"821749416344186881",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","ericrobinson64",0,FALSE,FALSE,NA,NA
"726","RT @ActivevoiceSw: Role of Containers in the Enterprise Data Center | 7wData https://t.co/sW5LlL1oPH #BigData #DataScience #Analytics #Mach…",FALSE,0,NA,2017-01-18 16:01:21,FALSE,NA,"821749327454490625",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",1,TRUE,FALSE,NA,NA
"727","RT @KirkDBorne: When it comes to #Healthcare, #BigData is a Big Deal: https://t.co/yDg6tdtvwQ #Analytics #HealthIT #DataScience #infographi…",FALSE,0,NA,2017-01-18 16:01:03,FALSE,NA,"821749251910701057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AprilFilms",34,TRUE,FALSE,NA,NA
"728","How to use #data to make killer content decisions https://t.co/LJnwriVeZy via @thenextweb @TIBCO #analytics #software",FALSE,0,NA,2017-01-18 16:01:02,FALSE,NA,"821749245694844929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DerkvanLomwel",0,FALSE,FALSE,NA,NA
"729","RT @Ronald_vanLoon: MIT's answer to global health issues: Democratizing big data analytics | #Analytics #Health #RT https://t.co/sBSHi6LLqG…",FALSE,0,NA,2017-01-18 16:00:59,FALSE,NA,"821749235855015936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kushalkanna",19,TRUE,FALSE,NA,NA
"730","RT @gp_pulipaka: Practical Tableau: 3 Ways To Use Dashboard Actions. #BigData #DataScience #BI #DataViz #Analytics #Tableau

https://t.co/3…",FALSE,0,NA,2017-01-18 16:00:56,FALSE,NA,"821749222865309696",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",24,TRUE,FALSE,NA,NA
"731","Are your monitors buried in #clinical data? Propel #Medical Review with Guided #Analytics https://t.co/lfAILkp0lk… https://t.co/CTvopsfKP3",FALSE,1,NA,2017-01-18 16:00:42,TRUE,NA,"821749162018533376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CGaenzler",0,FALSE,FALSE,NA,NA
"732","#Analytics Startup HouseCanary Lands $33M to Disrupt #RealEstate Market https://t.co/BMjyzV5w0Y #Funding https://t.co/c6rumjAR3W",FALSE,0,NA,2017-01-18 16:00:36,FALSE,NA,"821749139042144256",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","icrunchdata",0,FALSE,FALSE,NA,NA
"733","RT @gp_pulipaka: Practical Tableau: 3 Ways To Use Dashboard Actions. #BigData #DataScience #BI #DataViz #Analytics #Tableau

https://t.co/3…",FALSE,0,NA,2017-01-18 16:00:18,FALSE,NA,"821749060944150532",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gdorn1",24,TRUE,FALSE,NA,NA
"734","See how #data &amp; #analytics impact the #EmployeeExperience https://t.co/djOdNbiRIm",FALSE,0,NA,2017-01-18 16:00:16,FALSE,NA,"821749054401089536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LDSConsulting",0,FALSE,FALSE,NA,NA
"735","Role of Containers in the Enterprise Data Center | 7wData https://t.co/sW5LlL1oPH #BigData #DataScience #Analytics… https://t.co/41iNYjkk6b",FALSE,0,NA,2017-01-18 16:00:05,TRUE,NA,"821749008750280704",NA,"<a href=""http://www.activevoice.us"" rel=""nofollow"">ActiveVoiceSW</a>","ActivevoiceSw",1,FALSE,FALSE,NA,NA
"736","The way forward w/ customer journey mapping https://t.co/tA6PtN8LSP https://t.co/B75JKlZVE2 #CX #CRM #SaaS #B2B #Sales #Analytics #Data #UX",FALSE,2,NA,2017-01-18 16:00:04,FALSE,NA,"821749002823696384",NA,"<a href=""http://twuffer.com"" rel=""nofollow"">Twuffer</a>","CSuccessNetwork",0,FALSE,FALSE,NA,NA
